identifier	metabolite_name	rt_lib	inchikey	ion_mod
ACMG_aqC18_POS_0015	LIM3305_Ornithine	33.6	IMQLKJBTEOYOSI-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0016	LIM3307_Histidine	33.6	XUFXOAAUWZOOIT-UGEKTDRHSA-N	positive
ACMG_aqC18_POS_0017	LIM3309_Arginine	33.6	AFPLNGZPBSKHHQ-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0018	MS5012_Glycinamide	33.6	UHUSDOQQWJGJQS-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0019	MS5015_Galactose-1-phosphate	33.6	ITVGXXMINPYUHD-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0020	MS5038_Putrescine	33.6	ARGKVCXINMKCAZ-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0021	LO03_Glucosamine	33.6	QEVHRUUCFGRFIF-MDEJGZGSSA-N	positive
ACMG_aqC18_POS_0022	LO04_Phosphoserine	33.6	GZSOSUNBTXMUFQ-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0023	LO26_L-Histidine monohydrochloride monohydrat	33.6	SJDMTGSQPOFVLR-ZPQCIJQQSA-N	positive
ACMG_aqC18_POS_0024	LO48_L-2,3-Diaminopropionic acid	33.6	FPVVYTCTZKCSOJ-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0025	LO58_α-D-Glucose 1-phosphate disodium salt hy	33.6	CWBZAESOUBENAP-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0026	LO74_2,6-Diaminoheptanedioic acid	33.6	DFPMSGMNTNDNHN-ZPHOTFPESA-N	positive
ACMG_aqC18_POS_0027	LO76_DL-5-Hydroxylysine hydrochloride	33.6	GFEGEDUIIYDMOX-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0028	LO28_D-Mannosamine hydrochloride	33.9	YQDJMFFVPVZWNK-DHUJRADRSA-N	positive
ACMG_aqC18_POS_0029	LIM3301_Lysine	34.199999999999996	LLJFMFZYVVLQKT-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0030	LIM3304_Serine	34.199999999999996	VYGQUTWHTHXGQB-FFHKNEKCSA-N	positive
ACMG_aqC18_POS_0031	LIM3308_O-Phosphoserine	34.199999999999996	IECPWNUMDGFDKC-MZJAQBGESA-N	positive
ACMG_aqC18_POS_0032	LIM3314_Cystine	34.199999999999996	QWIZNVHXZXRPDR-WSCXOGSTSA-N	positive
ACMG_aqC18_POS_0033	MS5002_Histidine methyl ester	34.199999999999996	BHTRKEVKTKCXOH-LBSADWJPSA-N	positive
ACMG_aqC18_POS_0034	MS5013_Cystamine	34.199999999999996	SEBFKMXJBCUCAI-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0035	MS5014_Glucosamine-6-phosphate	34.199999999999996	RFKITWRHKUYMRJ-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0036	MS5020_Galactosamine	34.199999999999996	XUCIJNAGGSZNQT-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0037	LO19_O-Phosphorylethanolamine	34.199999999999996	QGJZLNKBHJESQX-FZFNOLFKSA-N	positive
ACMG_aqC18_POS_0038	LO28_1-Methyl-L-histidine	34.199999999999996	IKIIZLYTISPENI-UNJWAJPSSA-N	positive
ACMG_aqC18_POS_0039	LO36_D-FRUCTOSE 6-PHOSPHATE DISODIUM SALT	34.199999999999996	DKHGMERMDICWDU-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0040	LO50_3-Methyl-L-histidine	34.199999999999996	SGKRLCUYIXIAHR-AKNGSSGZSA-N	positive
ACMG_aqC18_POS_0041	LO69_L-arginine monohydrochloride	34.199999999999996	CVAVMIODJQHEEH-UHFFFAOYSA-O	positive
ACMG_aqC18_POS_0042	LO73_L-Asparagine	34.199999999999996	FVWJYYTZTCVBKE-ROUWMTJPSA-N	positive
ACMG_aqC18_POS_0043	LO76_serine	34.199999999999996	TVZGACDUOSZQKY-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0044	LIM3301_Glycine	34.5	IOUVKUPGCMBWBT-QNDFHXLGSA-N	positive
ACMG_aqC18_POS_0045	MS5005_Glycerol-3-phosphate	34.5	AEDDIBAIWPIIBD-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0046	MS5047_Histidine	34.5	CFZXDJWFRVEWSR-BUHFOSPRSA-N	positive
ACMG_aqC18_POS_0047	LO20_D-Glucosaminic acid	34.5	HKEAFJYKMMKDOR-VPRICQMDSA-N	positive
ACMG_aqC18_POS_0048	LO69_Scyllo-Inositol	34.5	FJLGEFLZQAZZCD-MCBHFWOFSA-N	positive
ACMG_aqC18_POS_0049	LO73_L-Carnosine	34.5	NBMKJKDGKREAPL-DVTGEIKXSA-N	positive
ACMG_aqC18_POS_0050	LO307_Palmitoleic acid	34.8	KEYWXKLGZZGHMT-ISLYRVAYSA-N	positive
ACMG_aqC18_POS_0051	LO308_chiro-Inositol	34.8	MEFKEPWMEQBLKI-AIRLBKTGSA-O	positive
ACMG_aqC18_POS_0052	LIM3302_Galactose	34.8	JUVIOZPCNVVQFO-HBGVWJBISA-N	positive
ACMG_aqC18_POS_0053	LIM3303_Asparagine	34.8	UREBDLICKHMUKA-DVTGEIKXSA-N	positive
ACMG_aqC18_POS_0054	LIM3306_Aspartic acid	34.8	UREBDLICKHMUKA-CXSFZGCWSA-N	positive
ACMG_aqC18_POS_0055	MS5002_Ethanolamine	34.8	SPIUTQOUKAMGCX-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0056	MS5023_Myoinositol	34.8	LPTITAGPBXDDGR-IBEHDNSVSA-N	positive
ACMG_aqC18_POS_0057	MS5029_Serine	34.8	MAYCICSNZYXLHB-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0058	MS5047_N-Methylglucamine	34.8	QYSXJUFSXHHAJI-YRZJJWOYSA-N	positive
ACMG_aqC18_POS_0059	LO601_Arginine	34.8	FIHJKUPKCHIPAT-AHIGJZGOSA-N	positive
ACMG_aqC18_POS_0060	LO602_Aspartic acid	34.8	HLIAVLHNDJUHFG-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0061	LO602_Glutamine	34.8	LSQZJLSUYDQPKJ-NJBDSQKTSA-N	positive
ACMG_aqC18_POS_0062	LO07_D-(+)-Galacturonic acid	34.8	OIGNJSKKLXVSLS-VWUMJDOOSA-N	positive
ACMG_aqC18_POS_0063	LO15_Pyruvic acid	34.8	JYTUSYBCFIZPBE-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0064	LO18_L-Anserine nitrate salt	34.8	MLKXDPUZXIRXEP-MFOYZWKCSA-N	positive
ACMG_aqC18_POS_0065	LO26_D-Aspartic acid	34.8	CWVRJTMFETXNAD-JUHZACGLSA-N	positive
ACMG_aqC18_POS_0066	LO36_D-chiro-Inositol	34.8	XQFRJNBWHJMXHO-RRKCRQDMSA-N	positive
ACMG_aqC18_POS_0067	LO41_5-(Hydroxymethyl)uracil	34.8	NYGZLYXAPMMJTE-UHFFFAOYSA-M	positive
ACMG_aqC18_POS_0068	LO52_Fumaric acid	34.8	ZRVUJXDFFKFLMG-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0069	LO57_Inositol	34.8	OCQDPIXQTSYZJL-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0070	LO63_D(+)-Glucuronic acid sodium salt monohydrate	34.8	LTFMZDNNPPEQNG-KVQBGUIXSA-N	positive
ACMG_aqC18_POS_0071	LO68_Taurine	34.8	IXORZMNAPKEEDV-OBDJNFEBSA-N	positive
ACMG_aqC18_POS_0072	LO72_D-glutamine	34.8	SERLAGPUMNYUCK-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0073	LO74_Glycyl-glycine	34.8	PVXPPJIGRGXGCY-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0074	LO314_alpha-D-Galactopyranuronosyl-(1->4)-alpha-D-galactopyranuronosyl-(1->4)-D-galacturonic acid	35.099999999999994	UJVLDDZCTMKXJK-WNHSNXHDSA-N	positive
ACMG_aqC18_POS_0075	LIM3313_4-Hydroxyproline	35.099999999999994	XHCADAYNFIFUHF-TVKJYDDYSA-N	positive
ACMG_aqC18_POS_0076	LIM3315_Glutamine	35.099999999999994	RPWFJAMTCNSJKK-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0077	LO31_Isethionic acid sodium salt	35.099999999999994	XUFQPHANEAPEMJ-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0078	LO49_Hypotaurine	35.099999999999994	WZKXBGJNNCGHIC-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0079	LO55_L-Homoserine	35.099999999999994	ZZUFCTLCJUWOSV-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0080	LO320_4-O-alpha-D-Galactopyranuronosyl-D-galacturonic acid	35.4	IVOMOUWHDPKRLL-KQYNXXCUSA-N	positive
ACMG_aqC18_POS_0081	LIM3305_Glucose 6-phosphate	35.4	QGNJRVVDBSJHIZ-AQDFTDIISA-N	positive
ACMG_aqC18_POS_0082	MS5018_Cycloserine	35.4	YWJXCIXBAKGUKZ-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0083	LO601_Alanine	35.4	QGBRLVONZXHAKJ-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0084	LO04_Alpha-D-galactose	35.4	IDONYWHRKBUDOR-IBEHDNSVSA-N	positive
ACMG_aqC18_POS_0085	LO06_Mucic Acid	35.4	OELFLUMRDSZNSF-YJEKIOLLSA-N	positive
ACMG_aqC18_POS_0086	LO16_D-Alanine	35.4	PYGXAGIECVVIOZ-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0087	LO18_β-Glycerophosphate disodium salt hydrate	35.4	BDXAHSJUDUZLDU-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0088	LO20_UDP-Glucose sodium salt	35.4	XVULBTBTFGYVRC-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0089	LO56_beta-Alanine	35.4	NEUSVAOJNUQRTM-UHFFFAOYSA-N  	positive
ACMG_aqC18_POS_0090	LO58_Choline glycerophosphate	35.4	CXQWRCVTCMQVQX-LSDHHAIUSA-N	positive
ACMG_aqC18_POS_0091	LO70_cis-4-Hydroxy-D-proline	35.4	TXDUTHBFYKGSAH-SFHVURJKSA-N	positive
ACMG_aqC18_POS_0092	LO70_Sarcosine	35.4	RSWGJHLUYNHPMX-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0093	LO06_NMDA	35.699999999999996	UYXTWWCETRIEDR-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0094	LO308_Glycerophosphocholine	36.0	HCZKYJDFEPMADG-TXEJJXNPSA-N	positive
ACMG_aqC18_POS_0095	LO319_Cys-Gly, oxidized	36.0	YXOLAZRVSSWPPT-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0096	MS5009_S-Methyl-L-cysteine sulfoxide	36.0	AFSDNFLWKVMVRB-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0097	MS5021_Sorbose	36.0	MBNGWHIJMBWFHU-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0098	MS5030_Diethanolamine	36.0	SXYIRMFQILZOAM-HVNFFKDJSA-N	positive
ACMG_aqC18_POS_0099	MS5031_Glycyl-glycyl-glycine	36.0	KEVYVLWNCKMXJX-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0100	MS5039_Oxamic acid	36.0	WTTJVINHCBCLGX-ZDVGBALWSA-N	positive
ACMG_aqC18_POS_0101	LO522_Galactose	36.0	IQDXAJNQKSIPGB-HQSZAHFGSA-N	positive
ACMG_aqC18_POS_0102	LO02_Guanidine hydrochloride	36.0	XGFDHKJUZCCPKQ-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0103	LO03_N,N-Dimethylglycine	36.0	HUEBIMLTDXKIPR-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0104	LO05_L(-)-sorbose	36.0	NRPKURNSADTHLJ-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0105	LO09_Dulcitol	36.0	DOIRQSBPFJWKBE-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0106	LO17_Phosphonoacetic acid	36.0	DNXHEGUUPJUMQT-CBZIJGRNSA-N	positive
ACMG_aqC18_POS_0107	LO21_D-Saccharic acid potassium salt	36.0	RGLYKWWBQGJZGM-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0108	LO24_α-D-Glucose	36.0	MOTZDAYCYVMXPC-UHFFFAOYSA-N  	positive
ACMG_aqC18_POS_0109	LO34_Xylitol	36.0	ZGIGZINMAOQWLX-NCZFFCEISA-N	positive
ACMG_aqC18_POS_0110	LO73_Aminomalonic acid	36.0	YZWRNSARCRTXDS-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0111	LO74_threonine	36.0	MMKRHZKQPFCLLS-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0112	LIM3304_Creatine phosphate	36.3	XIUXKAZJZFLLDQ-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0113	LO523_Glucose	36.3	ZAZKJZBWRNNLDS-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0114	LO07_glutamic acid	36.3	JNDDPBOKWCBQSM-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0115	LO71_Sodium gluconate	36.3	CJPNOLIZCWDHJK-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0116	LO302_Ribonic acid	36.6	PWWCDTYUYPOAIU-FLIBITNWSA-N	positive
ACMG_aqC18_POS_0117	LO312_2-Keto-3-deoxy-6-phosphogluconic acid	36.6	GHBFNMLVSPCDGN-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0118	LO315_Hydroxyisocaproic acid	36.6	URAYPUMNDPQOKB-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0119	LIM3305_Creatine phosphate	36.6	IAFQYUQIAOWKSB-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0120	LIM3309_Threonine	36.6	UQDUPQYQJKYHQI-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0121	LIM3310_Homoarginine	36.6	XPQPWPZFBULGKT-UHFFFAOYSA-N  	positive
ACMG_aqC18_POS_0122	MS5201_Lactobionic acid	36.6	RGXWDWUGBIJHDO-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0123	MS5005_Glycyl-L-glutamine	36.6	HIGQPQRQIQDZMP-DHZHZOJOSA-N	positive
ACMG_aqC18_POS_0124	MS5032_Isoglutamine	36.6	KGEKLUUHTZCSIP-HOSYDEDBSA-N	positive
ACMG_aqC18_POS_0125	MS5033_ADA	36.6	UWKAYLJWKGQEPM-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0126	LO524_Mannose	36.6	HIGQPQRQIQDZMP-FLIBITNWSA-N	positive
ACMG_aqC18_POS_0127	LO603_Glutamic acid	36.6	PSQYTAPXSHCGMF-BQYQJAHWSA-N	positive
ACMG_aqC18_POS_0128	LO28_D-Sorbitol	36.6	YJCJVMMDTBEITC-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0129	LO28_Ribitol	36.6	YRHYCMZPEVDGFQ-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0130	LO33_L-(-)-Arabitol	36.6	BYEVBITUADOIGY-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0131	LO44_D-Mannose	36.6	LSKONYYRONEBKA-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0132	LO58_D-Mannitol	36.6	PHXATPHONSXBIL-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0133	LO59_Betaine	36.6	YZRXRLLRSPQHDK-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0134	LO68_Citrulline	36.6	KJIOQYGWTQBHNH-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0135	LO316_1-Methylhistamine	36.9	PWKJMPFEQOHBAC-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0136	LO601_Argininosuccinic acid	36.9	IJXHLVMUNBOGRR-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0137	LO20_Pyridoxamine dihydrochloride	36.9	OAOABCKPVCUNKO-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0138	LO72_L(+)-Homoarginine hydrochloride	36.9	GIEMHYCMBGELGY-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0139	LO318_Erythronic acid	37.2	BRHDDEIRQPDPMG-WCBMZHEXSA-N	positive
ACMG_aqC18_POS_0140	LIM3302_Glutamic acid	37.2	OSMAJVWUIUORGC-WAYWQWQTSA-N	positive
ACMG_aqC18_POS_0141	MS5019_Bicine	37.2	GHBSPIPJMLAMEP-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0142	MS5022_Ribitol	37.2	BJIOGJUNALELMI-ONEGZZNKSA-N	positive
ACMG_aqC18_POS_0143	MS5030_Arginine methyl ester	37.2	PDLCCNYKIIUWHA-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0144	LO621_Glucose	37.2	UQXNEWQGGVUVQA-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0145	LO601_Urea	37.2	MWKFXSUHUHTGQN-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0146	LO07_Lactose	37.2	TVQGDYNRXLTQAP-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0147	LO09_D-Pinitol	37.2	JGHZJRVDZXSNKQ-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0148	LO10_D-Arabinose	37.2	GOKKOFHHJFGZHW-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0149	LO23_D-Gulonic acid γ-lactone	37.2	XMGQYMWWDOXHJM-SNVBAGLBSA-N	positive
ACMG_aqC18_POS_0150	LO23_Glutaric acid	37.2	YKFLAYDHMOASIY-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0151	LO25_D-(-)-Ribose	37.2	XMGQYMWWDOXHJM-JTQLQIEISA-N	positive
ACMG_aqC18_POS_0152	LO32_L-Gulono-1,4-lactone	37.2	CRPUJAZIXJMDBK-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0153	LO35_meso-Tartaric acid monohydrate	37.2	MOYAFQVGZZPNRA-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0154	LO45_Senecioic acid	37.2	BQOFWKZOCNGFEC-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0155	LO47_2-Hydroxy Hippuric Acid	37.2	GRWFGVWFFZKLTI-RKDXNWHRSA-N	positive
ACMG_aqC18_POS_0156	LO54_D(+)-Xylose	37.2	UAHWPYUMFXYFJY-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0157	LO55_D-(-)-Lyxose	37.2	SLXKOJJOQWFEFD-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0158	LO56_D-(-)-Fructose	37.2	KBPLFHHGFOOTCA-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0159	LO63_Erythritol	37.2	NUKZAGXMHTUAFE-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0160	LO71_Guanidoacetic acid	37.2	ICMAFTSLXCXHRK-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0161	LO75_cysteine	37.2	NUJGJRNETVAIRJ-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0162	LIM3302_Alanine	37.5	ZPVFWPFBNIEHGJ-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0163	MS5019_Glucaric acid	37.5	HNBDRPTVWVGKBR-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0164	LO15_Urocanic acid	37.5	OGHAROSJZRTIOK-KQYNXXCUSA-O	positive
ACMG_aqC18_POS_0165	LO36_4-Hydroxymandelic acid	37.5	JZUFKLXOESDKRF-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0166	LO70_Ala-Gln	37.5	DCOPUUMXTXDBNB-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0167	LO306_Targinine	37.8	KMPWYEUPVWOPIM-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0168	LO307_5-Keto-gluconic acid	37.8	WXCMHFPAUCOJIG-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0169	LO481_5-Hydroxypipecolic acid	37.8	RGOVYLWUIBMPGK-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0170	LO485_Argininosuccinic acid	37.8	KCXVZYZYPLLWCC-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0171	LIM3303_Glucose	37.8	RKUNBYITZUJHSG-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0172	LIM3304_Methionine sulfone	37.8	NNYBQONXHNTVIJ-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0173	MS5000_Xylose	37.8	ACVGWSKVRYFWRP-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0174	MS5003_1H-Imidazole-1-acetic acid	37.8	NGFMICBWJRZIBI-UJPOAAIJSA-N	positive
ACMG_aqC18_POS_0175	MS5021_Glycocyamine	37.8	XHEFDIBZLJXQHF-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0176	LO521_Alpha-Lactose	37.8	BJDCWCLMFKKGEE-AGQWIWFJSA-N	positive
ACMG_aqC18_POS_0177	LO521_Fructose	37.8	SWUARLUWKZWEBQ-VQHVLOKHSA-N	positive
ACMG_aqC18_POS_0178	LO522_Ribose	37.8	DANYIYRPLHHOCZ-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0179	LO621_Arabinose	37.8	FCDLCPWAQCPTKC-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0180	LO622_Fructose	37.8	SFBODOKJTYAUCM-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0181	LO08_Maltitol	37.8	BYPFEZZEUUWMEJ-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0182	LO10_D-(+)-Maltose monohydrate	37.8	DOOTYTYQINUNNV-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0183	LO23_Phospho(enol)pyruvic acid monopotassium	37.8	RKWGIWYCVPQPMF-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0184	LO26_D-(+)-ALLOSE	37.8	BJRNKVDFDLYUGJ-RMPHRYRLSA-N	positive
ACMG_aqC18_POS_0185	LO29_D-(+)-Turanose	37.8	VFMMPHCGEFXGIP-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0186	LO34_D-(-)-Tagatose	37.8	HCFDWZZGGLSKEP-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0187	LO52_Allantoin	37.8	CMQGCWMEXQRWSS-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0188	LO65_N-Acetylneuraminic acid	37.8	FXNFHKRTJBSTCS-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0189	LO71_1-Aminocyclopropanecarboxylic acid	37.8	RWYFZABPLDFELM-QXFUBDJGSA-N	positive
ACMG_aqC18_POS_0190	LO71_L-Threonic acid Calcium Salt	37.8	BKAYIFDRRZZKNF-SECBINFHSA-N	positive
ACMG_aqC18_POS_0191	LO72_4-Aminobutyric acid	37.8	YKBGVTZYEHREMT-KVQBGUIXSA-N	positive
ACMG_aqC18_POS_0192	LO319_Threonic acid	38.4	METKIMKYRPQLGS-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0193	LO483_4-Aminobutyric acid	38.4	FVYXIJYOAGAUQK-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0194	LO487_Allantoin	38.4	VVOAZFWZEDHOOU-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0195	LIM3305_Cytosine 	38.4	JLIDBLDQVAYHNE-IBPUIESWSA-N	positive
ACMG_aqC18_POS_0196	LIM3314_Carnitine	38.4	DCWXELXMIBXGTH-QMMMGPOBSA-N	positive
ACMG_aqC18_POS_0197	MS5209_Palatinitol	38.4	HXXFSFRBOHSIMQ-FPRJBGLDSA-N	positive
ACMG_aqC18_POS_0198	MS5001_Arabinose	38.4	AEJSSXDYDSUOOZ-SLPGGIOYSA-N	positive
ACMG_aqC18_POS_0199	MS5023_N,N-Dimethyl-beta-alanine	38.4	VLEUZFDZJKSGMX-ONEGZZNKSA-N	positive
ACMG_aqC18_POS_0200	MS5040_meso-Erythritol	38.4	DXDRHHKMWQZJHT-FPYGCLRLSA-N	positive
ACMG_aqC18_POS_0201	MS5041_Guanidinoethyl sulfonate	38.4	BBNQQADTFFCFGB-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0202	LO523_Xylose	38.4	OZWKMVRBQXNZKK-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0203	LO602_Citrulline	38.4	DKYWVDODHFEZIM-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0204	LO10_5-Aminolevulinic acid hydrochloride	38.4	RTIXKCRFFJGDFG-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0205	LO12_D-(+)-Trehalose dihydrate	38.4	FNYLWPVRPXGIIP-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0206	LO20_Glycerol	38.4	MJQVZIANGRDJBT-VAWYXSNFSA-N	positive
ACMG_aqC18_POS_0207	LO24_D-(-)-Tartaric acid	38.4	IMKJGXCIJJXALX-SHUKQUCYSA-N	positive
ACMG_aqC18_POS_0208	LO25_4-Hydroxy-L-phenylglycine	38.4	XJHDMGJURBVLLE-BOCCBSBMSA-N	positive
ACMG_aqC18_POS_0209	LO28_Cytosine	38.4	MBRLOUHOWLUMFF-UHFFFAOYSA-N	positive
ACMG_aqC18_POS_0210	LO41_L-(-)-α-Methyldopa	38.4	CDRPUGZCRXZLFL-UPHRSURJSA-N	positive
ACMG_aqC18_POS_0211	LO54_Guanidinosuccinic acid	38.4	PDHAOJSHSJQANO-OWOJBTEDSA-N	positive
